G1,G2,failures,Medu,age,goout,studytime,absences,G3
16,17,0,4,15,5,1,4,18
7,6,0,3,16,3,2,4,6
11,10,0,4,16,3,2,0,10
11,13,0,2,15,4,4,6,14
7,10,1,1,15,2,4,2,10
11,15,0,4,16,3,1,2,15
8,9,0,2,16,5,2,2,10
11,14,0,4,16,4,1,6,14
7,9,0,4,16,5,3,0,8
7,7,0,4,16,5,1,14,5
16,17,0,4,16,3,3,0,17
10,13,0,4,15,3,1,4,14
7,6,0,3,15,5,2,26,6
16,18,0,3,15,4,2,0,18
10,11,0,3,15,3,4,10,11
7,8,0,2,15,2,4,8,8
16,18,0,3,16,3,3,2,18
10,13,0,4,15,5,4,6,13
14,15,0,4,16,5,3,4,16
18,19,0,4,15,3,1,6,19
7,10,1,3,16,2,3,0,10
10,13,1,2,16,2,2,6,13
18,19,0,4,15,2,1,10,19
9,9,0,2,15,2,2,8,9
15,15,0,4,16,4,2,2,16
11,13,0,4,15,3,2,2,14
13,14,0,3,16,2,1,0,13
9,7,1,1,17,4,2,20,8
14,13,0,3,15,3,1,6,13
16,15,0,1,15,3,2,2,15
16,14,0,2,15,4,4,6,15
13,13,0,2,16,2,2,2,13
14,11,0,4,16,4,1,18,13
8,7,0,2,16,4,2,0,8
13,13,0,3,15,5,1,0,12
7,10,0,3,15,2,2,0,11
7,8,3,0,19,2,2,2,9
7,4,2,2,18,3,1,0,0
18,18,0,4,16,5,1,8,18
12,0,2,3,15,2,3,0,0
8,0,0,1,15,3,1,0,0
10,13,0,2,17,4,1,12,12
12,11,0,3,16,1,1,16,11
9,0,0,3,15,3,2,0,0
11,0,0,4,15,3,3,0,0
10,0,0,3,17,5,2,0,0
4,0,2,3,16,2,1,0,0
14,12,1,1,16,4,2,0,12
16,16,0,4,15,2,1,0,15
7,9,0,4,15,2,4,0,0
9,9,2,2,16,3,1,8,9
9,11,0,4,15,2,3,2,11
14,14,0,1,16,4,1,2,13
5,0,3,2,17,5,1,0,0
8,11,0,1,15,2,2,0,11
6,7,3,3,15,2,2,0,0
10,11,0,1,15,2,2,2,11
7,6,0,4,16,2,1,0,0
8,9,3,2,15,5,1,0,10
6,5,3,1,18,5,1,0,0
12,13,1,2,16,4,1,6,14
10,10,2,3,15,1,3,8,10
5,0,3,3,19,4,1,0,0
11,11,0,4,17,1,1,0,12
11,8,0,2,15,4,2,2,8
16,12,0,1,17,2,1,8,13
9,8,3,1,18,5,1,6,10
17,15,0,2,16,2,1,2,15
10,12,1,3,16,5,2,4,12
7,6,2,2,17,2,1,0,0
5,9,2,3,15,4,2,6,7
7,0,1,1,16,4,1,0,0
10,10,0,1,17,3,1,2,10
5,8,3,1,17,5,2,0,7
12,11,1,3,16,2,1,16,12
10,10,0,2,16,5,2,4,10
14,15,0,4,16,3,2,0,16
6,7,0,2,16,5,2,0,0
14,14,0,4,16,2,2,0,14
6,5,2,3,16,5,1,0,0
13,15,0,1,16,2,2,2,16
13,11,0,4,17,4,2,0,10
8,7,3,1,16,5,2,0,0
10,11,0,3,16,5,2,4,9
10,9,0,4,17,4,2,4,9
13,13,0,2,16,4,2,2,11
6,5,0,3,17,4,2,4,6
10,8,0,4,16,3,1,10,9
10,10,0,4,17,3,2,4,11
9,8,0,4,16,3,2,10,8
12,13,0,3,16,3,2,2,12
16,17,0,2,17,2,2,0,17
9,9,0,3,17,3,2,56,8
12,13,0,3,16,2,2,14,12
12,12,0,3,17,4,2,12,11
11,12,0,1,16,3,1,2,11
15,15,0,2,16,3,2,0,15
8,7,0,3,17,3,2,6,9
8,9,0,1,17,3,2,4,10
11,12,0,2,16,3,2,10,13
8,8,0,1,17,3,2,0,9
7,8,0,1,17,4,2,12,8
8,9,0,3,16,2,1,8,10
13,14,0,2,16,3,1,0,14
14,15,0,2,17,2,2,0,15
17,15,0,4,17,3,1,4,16
9,9,0,3,16,4,1,8,10
18,18,1,4,17,4,1,24,18
9,9,0,4,16,2,2,0,10
16,16,0,4,16,5,2,2,16
8,10,0,2,16,3,2,6,10
9,9,0,1,17,4,2,4,10
7,6,0,2,17,2,1,18,6
10,10,0,2,16,5,4,6,11
10,9,1,3,17,3,3,28,9
7,7,3,3,16,3,2,5,7
11,12,0,4,16,2,2,10,13
9,9,0,1,16,2,1,6,10
7,7,0,4,17,2,3,6,7
8,8,0,3,19,3,4,10,8
12,12,0,4,17,5,2,13,13
12,13,0,2,16,4,2,0,14
6,7,1,2,18,4,2,15,8
8,10,0,4,17,1,1,12,10
14,15,0,3,17,4,2,2,15
6,6,2,4,17,5,2,22,4
6,6,1,3,18,4,2,13,8
7,7,0,2,17,3,1,3,8
9,10,0,2,17,3,3,4,10
6,6,0,2,17,5,2,2,6
6,5,1,1,17,4,3,0,0
16,16,0,2,16,1,2,2,17
12,13,0,2,18,3,2,0,13
13,13,0,4,16,2,3,0,14
9,8,1,3,18,3,2,16,7
16,15,0,3,17,4,2,10,15
12,11,0,2,17,3,2,2,12
10,8,0,2,18,2,2,14,9
12,10,0,2,17,3,3,10,12
13,13,0,4,17,3,2,14,14
11,11,0,2,17,2,2,4,11
11,9,0,4,17,5,2,14,9
14,13,0,4,16,4,2,2,13
9,7,0,1,16,2,2,18,6
11,9,0,3,16,3,3,10,10
14,13,0,2,17,2,2,4,13
13,12,0,2,16,2,1,20,12
13,11,0,2,17,1,2,2,11
7,7,1,2,18,4,2,0,0
12,12,0,4,17,5,2,14,12
10,11,0,4,17,3,2,2,12
6,0,0,4,16,5,1,0,0
13,12,0,4,16,2,1,0,12
7,0,0,2,18,4,3,0,0
18,18,0,2,16,3,1,6,18
12,12,0,2,17,2,1,4,13
6,8,3,3,22,5,1,16,8
3,5,1,3,18,3,2,8,5
13,15,0,0,16,2,1,0,15
6,8,1,3,18,5,1,0,8
7,10,0,3,16,3,2,6,10
6,9,1,2,18,5,1,4,8
8,9,0,2,16,2,1,0,8
8,12,0,2,17,2,1,0,12
7,9,1,1,17,4,1,2,8
14,12,0,4,17,3,4,6,13
11,11,0,4,19,1,2,12,11
15,14,0,2,18,4,2,8,14
10,9,0,2,17,1,4,0,0
17,18,0,4,18,2,2,21,18
8,8,0,4,18,2,2,2,8
13,12,0,3,18,2,3,1,12
10,9,0,3,17,3,3,4,9
9,10,0,2,18,3,3,0,0
17,17,0,3,18,5,2,13,17
9,9,0,3,17,4,2,2,10
12,10,0,4,18,4,2,8,11
10,9,0,4,18,5,2,10,10
6,0,0,2,18,5,2,0,0
9,9,2,3,19,5,2,15,9
15,14,0,2,18,5,4,4,14
11,11,0,1,18,3,2,2,11
15,14,0,1,17,2,2,2,14
10,10,0,2,17,3,2,2,10
12,12,0,2,17,4,2,6,12
10,9,0,3,18,1,2,75,9
9,9,0,4,18,4,1,22,9
9,8,1,4,18,4,2,15,8
10,11,0,4,18,3,1,8,10
8,8,0,4,17,4,1,30,8
11,9,1,3,17,4,1,19,10
12,12,0,1,18,2,4,1,12
8,9,0,1,18,4,2,4,10
10,9,0,2,17,5,2,4,11
12,10,0,1,17,3,2,2,11
18,18,0,2,18,3,3,5,19
13,12,0,1,17,3,3,6,12
15,14,0,2,18,4,3,6,14
15,13,0,4,18,3,2,9,15
12,11,0,4,18,2,2,11,11
15,15,0,4,17,2,3,0,15
12,12,1,2,18,3,2,12,13
18,18,0,3,17,2,4,6,18
14,13,0,3,18,2,3,8,14
14,12,0,3,17,3,1,4,11
10,9,0,4,19,4,2,0,0
10,8,0,4,18,5,2,10,8
14,13,0,4,18,3,4,0,14
16,15,0,4,18,2,1,5,16
12,10,0,4,18,4,2,14,11
11,11,0,4,17,1,1,0,10
15,12,0,4,17,3,3,0,14
17,17,0,3,17,2,4,0,18
15,14,1,3,19,4,2,20,13
14,12,1,2,18,3,2,8,12
17,18,0,3,20,3,1,0,18
8,9,1,4,19,4,1,38,8
15,12,1,3,19,3,2,0,12
12,10,1,1,19,3,2,18,10
9,9,1,1,19,4,2,0,0
14,12,0,2,19,1,2,20,13
13,11,1,1,19,2,2,3,11
13,10,1,3,19,2,2,22,11
15,13,2,1,19,2,3,14,13
13,11,1,2,19,2,3,40,11
8,8,0,2,18,3,2,0,0
9,10,0,4,18,4,3,9,9
11,11,0,3,17,4,3,0,10
11,11,0,4,18,4,2,2,11
13,13,0,4,17,2,2,23,13
11,9,0,2,17,2,2,12,9
11,11,0,2,17,2,3,3,11
12,14,0,3,17,3,3,1,15
16,15,0,0,17,3,3,0,15
9,12,0,4,18,3,3,3,11
14,15,0,3,17,5,1,3,16
11,10,0,2,17,5,1,8,10
10,9,0,4,17,4,3,7,9
14,14,0,4,17,3,3,4,14
9,8,0,2,18,5,4,2,8
12,14,0,2,17,3,3,7,14
7,0,0,3,18,4,2,0,0
8,8,0,2,18,3,2,0,0
10,9,0,2,18,4,4,0,0
16,15,0,3,17,5,3,16,15
14,13,1,3,19,3,3,12,13
7,8,0,3,17,2,2,0,0
16,15,0,3,18,3,4,7,17
9,10,0,3,17,3,2,4,10
11,12,1,2,19,4,3,4,11
10,10,1,4,18,3,2,0,0
16,15,0,3,18,3,2,11,15
9,8,1,2,17,1,2,0,0
11,10,0,2,18,3,3,4,10
13,13,0,3,18,3,3,7,14
16,15,0,4,18,2,3,9,16
10,10,0,4,18,5,3,0,9
13,15,0,4,17,3,3,0,15
11,13,1,3,18,5,1,10,13
8,7,3,1,19,4,2,8,8
13,13,0,3,17,4,2,2,13
8,7,1,1,18,3,1,7,8
8,8,1,1,19,4,1,4,8
13,11,0,4,17,5,2,4,11
10,9,0,3,18,4,2,0,9
12,13,0,4,17,3,2,4,13
12,12,0,3,17,3,2,2,11
10,10,0,1,18,2,1,4,10
18,16,0,1,18,2,3,0,16
13,13,0,1,18,4,2,0,13
13,12,1,1,18,3,2,2,12
11,11,0,3,18,2,2,0,10
16,15,0,4,17,4,2,0,15
12,11,0,1,17,2,2,0,12
10,10,0,1,18,4,2,4,10
13,13,0,4,18,2,3,0,13
7,6,1,1,17,1,1,0,0
11,10,0,2,18,3,1,0,10
14,12,0,4,18,2,2,10,11
7,7,2,3,19,2,2,4,9
14,12,0,1,18,3,1,3,12
13,11,0,2,17,3,3,8,11
6,5,0,1,17,5,1,14,5
19,18,0,4,18,4,3,0,19
8,8,0,1,18,2,3,2,10
15,14,2,4,20,3,3,4,15
8,9,0,4,18,3,2,4,10
15,15,0,3,18,3,2,0,15
10,10,0,3,17,4,2,17,10
15,14,0,4,18,4,2,4,14
7,6,0,2,18,3,1,5,7
11,11,0,2,17,3,2,2,10
6,5,1,1,19,2,1,0,0
6,5,1,4,18,3,1,14,5
10,9,0,2,18,3,3,2,10
6,5,0,4,18,3,1,7,6
7,5,1,2,19,2,3,0,0
7,9,0,3,18,4,2,0,8
6,5,1,1,18,1,2,0,0
9,9,2,2,20,4,2,11,9
14,16,0,3,17,5,1,3,16
10,8,3,1,21,3,1,3,7
11,12,0,3,18,1,1,0,10
8,9,0,1,19,3,1,5,9
